instance,family,n,alpha,phase,tier,obj,ub,gap_pct,seeds,phase_rt,cumul_rt,event
B_n100_001_a25_001,B,100,0.25,1,0,2141.0,2241,4.462293618920125,1,45.08597260003444,45.08600050001405,OBJ+20 tier->0
B_n100_001_a25_001,B,100,0.25,2,0,2142.0,2157,0.6954102920723227,1,46.442790500004776,93.98774500004947,OBJ+1 tier->0
B_n100_001_a25_001,B,100,0.25,3,1,2142.0,2150,0.37209302325581395,1,45.05123270000331,141.09753939998336,STALL→tier0→1 d_max=11
B_n100_001_a25_001,B,100,0.25,4,1,2142.0,2146,0.1863932898415657,1,38.745259300107136,182.08206370007247,UB_TIGHT→GAP<0.3%
