instance,family,n,alpha,phase,tier,obj,ub,gap_pct,seeds,phase_rt,cumul_rt,event
B_n130_016_a50_047,B,130,0.5,1,1,4156.0,4184,0.6692160611854685,1,90.19543550000526,90.19547270005569,STALL→tier0→1 d_max=24
B_n130_016_a50_047,B,130,0.5,2,2,4156.0,4184,0.6692160611854685,1,94.01880099996924,215.07460290007293,STALL→tier1→2 d_max=32
B_n130_016_a50_047,B,130,0.5,3,3,4156.0,4184,0.6692160611854685,1,90.25111010018736,336.342836700147,TIERS_EXHAUSTED
C_n080_035_a50_104,C,80,0.5,1,0,2778.0,2807,1.0331314570716068,1,90.27300430019386,90.2730471000541,OBJ+1 tier->0
C_n080_035_a50_104,C,80,0.5,2,1,2778.0,2807,1.0331314570716068,1,94.62491710018367,184.89801730006002,STALL→tier0→1 d_max=15
C_n080_035_a50_104,C,80,0.5,3,2,2778.0,2783,0.17966223499820336,1,90.13875310006551,280.01602849992923,STALL→tier1→2 d_max=20
C_n080_035_a50_104,C,80,0.5,4,2,2778.0,2779,0.035984166966534725,1,100.20141159999184,385.39627190004103,UB_TIGHT→GAP<0.3%
ED_n060_023_a50_068,ED,60,0.5,1,1,1727.0,1739,0.690051753881541,1,90.71635689982213,90.71640479983762,STALL→tier0→1 d_max=8
ED_n060_023_a50_068,ED,60,0.5,2,2,1727.0,1739,0.690051753881541,1,91.72342319996096,185.1526088998653,STALL→tier1→2 d_max=11
ED_n060_023_a50_068,ED,60,0.5,3,3,1727.0,1739,0.690051753881541,1,97.55246450006962,285.62168330000713,TIERS_EXHAUSTED
B_n150_030_a50_089,B,150,0.5,1,1,4964.0,4995,0.6206206206206206,1,93.6299519999884,93.6299968000967,STALL→tier0→1 d_max=26
B_n150_030_a50_089,B,150,0.5,2,2,4964.0,4986,0.4412354592860008,1,90.57971170009114,200.3912692000158,STALL→tier1→2 d_max=34
B_n150_030_a50_089,B,150,0.5,3,0,4965.0,4986,0.421179302045728,1,97.99794429983012,314.5308956000954,OBJ+1 tier->0
B_n150_030_a50_089,B,150,0.5,4,1,4965.0,4981,0.3212206384260189,1,92.71764750010334,407.24860120005906,STALL→tier0→1 d_max=26
B_n150_030_a50_089,B,150,0.5,5,2,4965.0,4977,0.24110910186859552,1,90.38211050000973,517.7465952001512,STALL→tier1→2 d_max=35
