instance,family,n,alpha,phase,tier,obj,ub,gap_pct,seeds,phase_rt,cumul_rt,event
ED_n080_045_a50_134,ED,80,0.5,2,0,2656.0,2684,1.0432190760059614,1,104.8621487999335,216.29338060016744,OBJ+1 tier->0
ED_n080_045_a50_134,ED,80,0.5,3,1,2656.0,2684,1.0432190760059614,1,110.51380260009319,326.80722860014066,STALL→tier0→1 d_max=13
ED_n080_045_a50_134,ED,80,0.5,4,0,2664.0,2684,0.7451564828614009,1,106.58156819990836,451.0071928000543,OBJ+8 tier->0
ED_n080_045_a50_134,ED,80,0.5,5,1,2664.0,2680,0.5970149253731344,1,95.12546040001325,546.1326944001485,STALL→tier0→1 d_max=13
ED_n080_045_a50_134,ED,80,0.5,6,2,2664.0,2675,0.411214953271028,1,100.40258340002038,673.8637159001082,STALL→tier1→2 d_max=18
ED_n080_045_a50_134,ED,80,0.5,7,3,2664.0,2675,0.411214953271028,1,141.8423846999649,841.0127073000185,TIERS_EXHAUSTED
C_n080_035_a50_104,C,80,0.5,1,1,2776.0,2807,1.10438190238689,1,96.73146520019509,96.73152499995194,STALL→tier0→1 d_max=14
C_n080_035_a50_104,C,80,0.5,2,2,2776.0,2807,1.10438190238689,1,90.5648729999084,193.1675124000758,STALL→tier1→2 d_max=19
C_n080_035_a50_104,C,80,0.5,3,3,2776.0,2796,0.7153075822603719,1,94.27854229998775,292.0813541000243,TIERS_EXHAUSTED
B_n130_016_a50_047,B,130,0.5,1,0,4145.0,4184,0.9321223709369025,1,96.46125510009006,96.46127830003388,OBJ+13 tier->0
B_n130_016_a50_047,B,130,0.5,2,0,4151.0,4184,0.788718929254302,1,90.0172672001645,186.47858390002511,OBJ+6 tier->0
B_n130_016_a50_047,B,130,0.5,3,0,4152.0,4184,0.7648183556405354,1,95.46099809999578,281.9396108998917,OBJ+1 tier->0
B_n130_016_a50_047,B,130,0.5,4,0,4154.0,4184,0.7170172084130019,1,92.94413469987921,374.8837707999628,OBJ+2 tier->0
B_n130_016_a50_047,B,130,0.5,5,0,4155.0,4184,0.6931166347992351,1,96.71022789995186,471.5940513999667,OBJ+1 tier->0
B_n130_016_a50_047,B,130,0.5,6,0,4156.0,4184,0.6692160611854685,1,90.12331729987636,561.7174342998769,OBJ+1 tier->0
B_n130_016_a50_047,B,130,0.5,7,1,4156.0,4184,0.6692160611854685,1,90.74199979985133,652.4594812998548,STALL→tier0→1 d_max=24
B_n130_016_a50_047,B,130,0.5,8,2,4156.0,4184,0.6692160611854685,1,100.26164890010841,783.0738530999515,STALL→tier1→2 d_max=32
B_n130_016_a50_047,B,130,0.5,9,3,4156.0,4184,0.6692160611854685,1,87.93711910001002,901.1937901999336,TIERS_EXHAUSTED
B_n150_030_a50_089,B,150,0.5,1,0,4936.0,4995,1.1811811811811812,1,93.64755700016394,93.64757779985666,OBJ+24 tier->0
B_n150_030_a50_089,B,150,0.5,2,0,4945.0,4995,1.001001001001001,1,96.54219419998117,190.18982609990053,OBJ+9 tier->0
B_n150_030_a50_089,B,150,0.5,3,0,4955.0,4995,0.8008008008008007,1,90.04544649994932,280.23535829992034,OBJ+10 tier->0
B_n150_030_a50_089,B,150,0.5,4,0,4964.0,4995,0.6206206206206206,1,91.1615279999096,371.39693479985,OBJ+9 tier->0
B_n150_030_a50_089,B,150,0.5,5,1,4964.0,4995,0.6206206206206206,1,93.29462420009077,464.6916252998635,STALL→tier0→1 d_max=26
B_n150_030_a50_089,B,150,0.5,6,2,4964.0,4992,0.5608974358974359,1,94.12707509985194,572.7501507999841,STALL→tier1→2 d_max=34
B_n150_030_a50_089,B,150,0.5,7,3,4964.0,4985,0.42126379137412234,1,90.79817429999821,685.7209336999804,TIERS_EXHAUSTED
ED_n060_023_a50_068,ED,60,0.5,1,0,1726.0,1739,0.7475560667050029,1,90.63940240000375,90.63944169995375,OBJ+1 tier->0
ED_n060_023_a50_068,ED,60,0.5,2,1,1726.0,1739,0.7475560667050029,1,91.12841350003146,181.7679454998579,STALL→tier0→1 d_max=8
ED_n060_023_a50_068,ED,60,0.5,3,0,1727.0,1739,0.690051753881541,1,93.7398794000037,278.42405329993926,OBJ+1 tier->0
ED_n060_023_a50_068,ED,60,0.5,4,1,1727.0,1739,0.690051753881541,1,90.86399570014328,369.2881024000235,STALL→tier0→1 d_max=8
ED_n060_023_a50_068,ED,60,0.5,5,2,1727.0,1739,0.690051753881541,1,98.03872449998744,472.0478146998212,STALL→tier1→2 d_max=11
ED_n060_023_a50_068,ED,60,0.5,6,3,1727.0,1738,0.6329113924050633,1,96.35192430019379,572.021316899918,TIERS_EXHAUSTED
C_n065_018_a50_053,C,65,0.5,1,0,1903.0,1928,1.2966804979253113,1,90.41319019999355,90.41325240000151,OBJ+3 tier->0
C_n065_018_a50_053,C,65,0.5,2,1,1903.0,1928,1.2966804979253113,1,90.0210174000822,180.4343537001405,STALL→tier0→1 d_max=12
C_n065_018_a50_053,C,65,0.5,3,2,1903.0,1927,1.2454592631032693,1,90.26777180004865,273.36555770016275,STALL→tier1→2 d_max=16
C_n065_018_a50_053,C,65,0.5,4,0,1905.0,1927,1.1416709911779968,1,90.3619711000938,366.9359992002137,OBJ+2 tier->0
C_n065_018_a50_053,C,65,0.5,5,1,1905.0,1914,0.4702194357366771,1,90.47704100003466,457.4131019001361,STALL→tier0→1 d_max=12
C_n065_018_a50_053,C,65,0.5,6,2,1905.0,1909,0.20953378732320588,1,90.08379100007005,551.115465400042,STALL→tier1→2 d_max=17
C_n065_018_a50_053,C,65,0.5,7,2,1905.0,1906,0.05246589716684155,1,90.35985239990987,645.3204668001272,UB_TIGHT→GAP<0.3%
ED_n040_001_a50_002,ED,40,0.5,1,0,948.0,948,0.0,1,10.995771700050682,10.995821499964222,UB_STOP
D_n060_023_a25_067,D,60,0.25,1,0,1263.0,1278,1.1737089201877933,1,90.38409379986115,90.38414710015059,OBJ+10 tier->0
D_n060_023_a25_067,D,60,0.25,2,1,1263.0,1278,1.1737089201877933,1,90.0980191999115,180.48222800018266,STALL→tier0→1 d_max=5
D_n060_023_a25_067,D,60,0.25,3,2,1263.0,1278,1.1737089201877933,1,90.84853980015032,274.42050830018707,STALL→tier1→2 d_max=7
D_n060_023_a25_067,D,60,0.25,4,3,1263.0,1269,0.4728132387706856,1,90.21533620008267,367.7392750000581,TIERS_EXHAUSTED
B_n150_030_a25_088,B,150,0.25,1,0,3120.0,3561,12.384161752316764,1,90.50302530010231,90.5030662000645,OBJ+40 tier->0
B_n150_030_a25_088,B,150,0.25,2,0,3135.0,3561,11.962931760741364,1,90.46674129995517,180.96987199992873,OBJ+15 tier->0
B_n150_030_a25_088,B,150,0.25,3,0,3311.0,3561,7.020499859590003,1,92.63634339999408,273.60626389994286,OBJ+176 tier->0
B_n150_030_a25_088,B,150,0.25,4,1,3311.0,3561,7.020499859590003,1,90.04792999988422,363.6542545000557,STALL→tier0→1 d_max=15
B_n150_030_a25_088,B,150,0.25,5,0,3312.0,3561,6.992417860151642,1,90.26709239999764,474.3316228000913,OBJ+1 tier->0
B_n150_030_a25_088,B,150,0.25,6,1,3312.0,3561,6.992417860151642,1,90.84326090011746,565.1749464001041,STALL→tier0→1 d_max=15
B_n150_030_a25_088,B,150,0.25,7,2,3312.0,3561,6.992417860151642,1,92.9261345998384,674.0582002999727,STALL→tier1→2 d_max=21
B_n150_030_a25_088,B,150,0.25,8,3,3312.0,3561,6.992417860151642,1,90.23598079988733,781.4576930000912,TIERS_EXHAUSTED
EC_n065_018_a25_052,EC,65,0.25,1,0,1183.0,1186,0.25295109612141653,1,91.028163400013,91.02820620010607,OBJ+19 tier->0
EC_n065_018_a25_052,EC,65,0.25,2,1,1183.0,1186,0.25295109612141653,1,90.01528880000114,181.04355080006644,STALL→tier0→1 d_max=5
EC_n065_018_a25_052,EC,65,0.25,3,2,1183.0,1186,0.25295109612141653,1,90.05330500006676,274.48349080001935,STALL→tier1→2 d_max=7
EC_n065_018_a25_052,EC,65,0.25,4,2,1183.0,1184,0.08445945945945946,1,90.72479090001434,367.42535010003485,UB_TIGHT→GAP<0.3%
B_n130_016_a75_048,B,130,0.75,1,1,4329.0,4334,0.11536686663590216,1,95.2321369999554,95.23218910000287,STALL→tier0→1 d_max=29
B_n130_016_a75_048,B,130,0.75,2,0,4330.0,4334,0.09229349330872173,1,90.37954550003633,215.9469562000595,OBJ+1 tier->0
D_n080_045_a75_135,D,80,0.75,1,1,2931.0,2953,0.7450050795800881,1,93.60942319990136,93.60948270000517,STALL→tier0→1 d_max=17
D_n080_045_a75_135,D,80,0.75,2,2,2931.0,2953,0.7450050795800881,1,94.05425389995798,217.8811343999114,STALL→tier1→2 d_max=23
D_n080_045_a75_135,D,80,0.75,3,3,2931.0,2953,0.7450050795800881,1,90.29499970003963,338.36934589990415,TIERS_EXHAUSTED
EB_n130_016_a50_047,EB,130,0.5,1,0,4094.0,4096,0.048828125,1,90.49540719995275,90.49545290018432,OBJ+15 tier->0
D_n060_023_a75_069,D,60,0.75,1,0,2002.0,2016,0.6944444444444444,1,90.19871989986859,90.1987642000895,OBJ+1 tier->0
D_n060_023_a75_069,D,60,0.75,2,0,2003.0,2016,0.6448412698412698,1,93.42454229993746,183.6233670001384,OBJ+1 tier->0
D_n060_023_a75_069,D,60,0.75,3,1,2003.0,2016,0.6448412698412698,1,95.81116069993004,279.4345841000322,STALL→tier0→1 d_max=12
D_n060_023_a75_069,D,60,0.75,4,0,2004.0,2016,0.5952380952380952,1,91.0870623998344,373.8873614000622,OBJ+1 tier->0
D_n060_023_a75_069,D,60,0.75,5,1,2004.0,2016,0.5952380952380952,1,108.18438200000674,482.0717931999825,STALL→tier0→1 d_max=12
D_n060_023_a75_069,D,60,0.75,6,0,2014.0,2016,0.0992063492063492,1,108.209382600151,595.6015574000776,OBJ+10 tier->0
EB_n130_016_a75_048,EB,130,0.75,1,0,4328.0,4332,0.09233610341643582,1,92.26755650015548,92.26761239999905,OBJ+4 tier->0
EB_n150_030_a75_090,EB,150,0.75,1,0,5275.0,5281,0.11361484567316796,1,90.21689249994233,90.21694110007957,OBJ+20 tier->0
EB_n150_030_a75_090,EB,150,0.75,2,1,5275.0,5281,0.11361484567316796,1,95.21704949997365,185.43404740002006,STALL→tier0→1 d_max=31
EB_n150_030_a75_090,EB,150,0.75,3,0,5277.0,5281,0.07574323044877863,1,91.33794540003873,304.3100366999861,OBJ+2 tier->0
C_n080_035_a75_105,C,80,0.75,1,1,2931.0,2934,0.10224948875255625,1,94.2862658998929,94.28630780009553,STALL→tier0→1 d_max=17
