instance,family,n,alpha,phase,tier,obj,ub,gap_pct,seeds,phase_rt,cumul_rt,event
B_n130_016_a25_046,B,130,0.25,1,0,2744.0,2820,2.6950354609929077,1,91.54640410002321,91.54642489994876,OBJ+24 tier->0
B_n130_016_a25_046,B,130,0.25,2,1,2744.0,2820,2.6950354609929077,1,90.04184429999441,181.58829969982617,STALL→tier0→1 d_max=13
B_n130_016_a25_046,B,130,0.25,3,2,2744.0,2820,2.6950354609929077,1,90.12339950003661,292.72557889996096,STALL→tier1→2 d_max=17
B_n130_016_a25_046,B,130,0.25,4,3,2744.0,2802,2.0699500356887937,1,90.57251959992573,413.3706375998445,TIERS_EXHAUSTED
