family,n,mean_LR100,mean_LR200,mean_LR100_continue,mean_best_cutLR,wins_best_vs_LR200,wins_best_vs_LR100_continue,mean_delta_best_vs_LR200,mean_delta_best_vs_LR100_continue
B,9,0.8962177312552259,0.48335037630717664,0.4963789734254591,0.4127943499187042,7,8,0.07055602638847241,0.0835846235067549
C,9,1.043965506644201,0.3666130025075451,0.36826198074627176,0.18649849837711743,7,8,0.18011450413042762,0.1817634823691543
D,9,1.5080804154619374,0.7508295779651,0.7732983139395327,0.5828415654365829,5,4,0.16798801252851703,0.19045674850294977
EB,9,0.9759711387904166,0.45740921180382293,0.4719934150711379,0.35856728210443456,6,8,0.09884192969938838,0.1134261329667033
EC,9,0.964373406639795,0.3215795100270953,0.3377617271345177,0.21469028183645414,6,8,0.1068892281906412,0.12307144529806356
ED,9,0.7818545883466065,0.34997668302699664,0.3535325012351039,0.3094215981248071,5,5,0.04055508490218959,0.044110903110296834
