instance,family,n,alpha,lb_incumbent,bks,method,upper_bound,gap_pct,runtime_s,iterations,invalid_vs_lb,invalid_vs_bks,extra
B_n130_016_a50_047,B,130,0.5,4156.0,4157.0,cutLR_pair_warm_100,4185.898302206559,0.7142625082601257,58.90040250006132,181,False,False,base_ub=4198.741153698134;cut_ub=4185.898302206559;cap_cuts=55;incomp_cuts=0;pos_gamma=2;pos_nu=0
B_n130_016_a50_047,B,130,0.5,4156.0,4157.0,cutLR_triple_warm_100,4183.587251464403,0.6594161853501889,46.874161800020374,200,False,False,base_ub=4198.741153698134;cut_ub=4183.587251464403;cap_cuts=55;incomp_cuts=10;pos_gamma=4;pos_nu=0
B_n150_030_a50_089,B,150,0.5,4973.0,,LR_100,5011.420124384547,0.7666514367375193,5.9108093999675475,100,False,False,hist_len=100
B_n150_030_a50_089,B,150,0.5,4973.0,,LR_200_cold,4995.085777727064,0.4421501193341615,14.045231099997181,200,False,False,hist_len=200
B_n150_030_a50_089,B,150,0.5,4973.0,,LR_100_plus_LR_100,4995.085777727064,0.4421501193341615,10.603389599942602,200,False,False,base_ub=5011.420124384547;cont_ub=4995.085777727064
B_n150_030_a50_089,B,150,0.5,4973.0,,cutLR_cap_warm_100,4994.703291816125,0.43452614796330247,10.70642509998288,200,False,False,base_ub=5011.420124384547;cut_ub=4994.703291816125;cap_cuts=55;incomp_cuts=0;pos_gamma=9;pos_nu=0
B_n150_030_a50_089,B,150,0.5,4973.0,,cutLR_pair_warm_100,4994.703291816125,0.43452614796330247,10.971152199956123,200,False,False,base_ub=5011.420124384547;cut_ub=4994.703291816125;cap_cuts=55;incomp_cuts=0;pos_gamma=9;pos_nu=0
B_n150_030_a50_089,B,150,0.5,4973.0,,cutLR_triple_warm_100,4990.436418474086,0.34939666618210635,11.564410299994051,200,False,False,base_ub=5011.420124384547;cut_ub=4990.436418474086;cap_cuts=55;incomp_cuts=47;pos_gamma=8;pos_nu=1
B_n100_001_a75_003,B,100,0.75,3119.0,3119.0,LR_100,3119.0000020708853,6.639581046844053e-08,2.441681199998129,100,False,False,hist_len=100
B_n100_001_a75_003,B,100,0.75,3119.0,3119.0,LR_200_cold,3119.000000014642,4.694438988064648e-10,4.853349099983461,200,False,False,hist_len=200
B_n100_001_a75_003,B,100,0.75,3119.0,3119.0,LR_100_plus_LR_100,3119.000000014642,4.694438988064648e-10,4.966806799988262,200,False,False,base_ub=3119.0000020708853;cont_ub=3119.000000014642
B_n100_001_a75_003,B,100,0.75,3119.0,3119.0,cutLR_cap_warm_100,3119.000000010635,3.40980323666094e-10,5.132164300011937,200,False,False,base_ub=3119.0000020708853;cut_ub=3119.000000010635;cap_cuts=54;incomp_cuts=0;pos_gamma=1;pos_nu=0
