alpha,n,mean_LR100,mean_LR200,mean_LR100_continue,mean_best_cutLR,wins_best_vs_LR200,wins_best_vs_LR100_continue,mean_delta_best_vs_LR200,mean_delta_best_vs_LR100_continue
0.25,18,1.485192288639202,0.6657459929577269,0.6855777237373604,0.5253640880437898,15,15,0.1403819049139371,0.16021363569357056
0.5,18,1.548535360190978,0.6617399538243789,0.6768283513228959,0.470613586614691,17,17,0.19112636720968787,0.20621476470820493
0.75,18,0.05150374473891143,0.037393234036762646,0.03820738071575534,0.03642911324056947,4,9,0.0009641207961931733,0.0017782674751858722
