comparison,method,base,n,wins,ties,losses,mean_delta_gap_points,median_delta_gap_points,max_positive_delta,max_negative_delta
best_cutLR_vs_base,best_cutLR,LR_200_cold,54,36,9,9,0.11082413097327272,0.016414228690492402,0.7307845972140179,-0.08376247171437279
best_cutLR_vs_base,best_cutLR,LR_100_plus_LR_100,54,41,9,4,0.12273555595898712,0.01468846988527089,0.7307845972140179,-0.04016851139838429
single_cutLR_vs_base,cutLR_cap_warm_100,LR_200_cold,54,35,9,10,0.057788049527404475,0.007330811579668039,0.5154924948362767,-0.1533463501092538
single_cutLR_vs_base,cutLR_cap_warm_100,LR_100_plus_LR_100,54,41,9,4,0.06969947451311888,0.010112605863027035,0.5477206750787625,-0.10975238979326529
single_cutLR_vs_base,cutLR_pair_warm_100,LR_200_cold,54,32,9,13,0.05106527806499308,0.0044384873553999,0.5174623235357589,-0.1533463501092538
single_cutLR_vs_base,cutLR_pair_warm_100,LR_100_plus_LR_100,54,39,9,6,0.06297670305070749,0.006755919864160544,0.67763986707297,-0.10975238979326529
single_cutLR_vs_base,cutLR_triple_warm_100,LR_200_cold,54,30,9,15,0.09444218361876583,0.0025949656059902505,0.7307845972140179,-0.08376247171437279
single_cutLR_vs_base,cutLR_triple_warm_100,LR_100_plus_LR_100,54,40,9,5,0.10635360860448023,0.006506062353044798,0.7307845972140179,-0.04016851139838429
